Date,Borough,CED Used,Firearms Aimed,SubjectEthnicity_Asian (or Asian British),SubjectEthnicity_Black (or Black British),SubjectEthnicity_Chinese,SubjectEthnicity_Don't know,SubjectEthnicity_Mixed,SubjectEthnicity_Other,SubjectEthnicity_White,UseOfForceCount
2023-05-01,Southwark,0,0,0,4,0,0,0,1,3,8
2023-05-01,Sutton,0,0,2,0,0,0,0,0,0,2
2023-05-01,Tower Hamlets,4,0,3,7,0,0,0,0,7,17
2023-05-01,Waltham Forest,0,0,1,1,0,0,0,0,2,4
2023-05-01,Wandsworth,0,0,0,1,0,0,0,0,4,5
2023-05-01,Barking and Dagenham,0,0,3,0,1,0,0,0,5,9
2023-05-01,Barnet,0,0,0,2,0,0,1,0,6,9
2023-05-01,Bexley,0,0,0,5,0,0,0,0,3,8
2023-05-01,Brent,1,0,2,5,0,1,2,1,4,15
2023-05-01,Bromley,0,0,0,5,0,0,2,0,3,10
2023-05-01,Camden,1,1,0,2,0,0,0,1,6,9
2023-05-01,City of Westminster,0,0,4,5,0,1,3,1,2,16
2023-05-01,Croydon,1,0,0,6,0,0,0,1,1,8
2023-05-01,Ealing,3,0,3,4,0,0,2,1,7,17
2023-05-01,Enfield,1,0,0,3,0,0,0,0,4,7
2023-05-01,Greenwich,0,0,1,5,1,1,1,2,1,12
2023-05-01,Hackney,1,0,0,7,0,0,0,0,3,10
2023-05-01,Hammersmith and Fulham,0,0,0,3,0,0,0,0,5,8
2023-05-01,Haringey,1,0,1,6,0,0,0,0,2,9
2023-05-01,Harrow,0,0,2,1,0,0,0,0,3,6
2023-05-01,Havering,0,0,4,1,0,0,0,0,7,12
2023-05-01,Heathrow,0,0,1,0,0,0,0,0,0,1
2023-05-01,Hillingdon,0,0,4,1,0,0,0,0,6,11
2023-05-01,Hounslow,0,0,0,3,0,0,0,0,1,4
2023-05-01,Islington,5,0,2,5,0,0,1,2,6,16
2023-05-01,Kensington and Chelsea,0,0,1,0,0,0,0,0,0,1
2023-05-01,Kingston upon Thames,0,0,1,1,0,0,0,0,4,6
2023-05-01,Lambeth,4,0,0,9,0,0,1,0,5,15
2023-05-01,Lewisham,0,0,1,6,1,0,0,1,7,16
2023-05-01,Newham,1,1,3,5,0,0,0,0,8,16
2023-05-01,Out of force,0,0,0,0,0,0,0,0,1,1
2023-05-01,Redbridge,0,0,1,2,0,0,0,0,4,7
2023-05-01,Richmond upon Thames,0,0,0,1,0,0,0,0,0,1
2023-05-01,Southwark,0,0,0,7,0,0,0,0,5,12
2023-05-01,Sutton,0,0,0,0,0,0,0,0,3,3
2023-05-01,Tower Hamlets,0,0,4,8,0,0,0,0,3,15
2023-05-01,Waltham Forest,1,0,1,5,0,0,0,0,2,8
2023-05-01,Wandsworth,0,0,0,1,0,0,4,0,1,6
2023-05-01,Barking and Dagenham,0,0,2,3,0,0,0,0,2,7
2023-05-01,Barnet,0,0,0,5,0,1,0,1,1,8
2023-05-01,Bexley,1,0,0,2,0,0,1,0,1,4
2023-05-01,Brent,0,0,0,3,0,1,3,0,2,9
2023-05-01,Bromley,1,0,0,0,0,0,1,0,6,7
2023-05-01,Camden,1,0,0,0,0,0,0,0,5,5
2023-05-01,City of Westminster,0,0,0,7,0,0,2,2,14,25
2023-05-01,Croydon,1,0,1,10,0,0,1,0,8,20
2023-05-01,Ealing,0,0,5,4,0,1,0,0,3,13
2023-05-01,Enfield,0,0,0,0,0,0,0,0,2,2
2023-05-01,Greenwich,2,0,0,2,0,0,0,0,6,8
2023-05-01,Hackney,0,0,2,16,1,0,2,0,0,21
2023-05-01,Hammersmith and Fulham,1,0,0,3,0,0,0,0,1,4
2023-05-01,Haringey,0,0,0,4,0,0,1,1,5,11
2023-05-01,Harrow,0,0,0,4,0,0,0,1,1,6
2023-05-01,Havering,0,0,1,0,0,0,1,0,14,16
2023-05-01,Heathrow,0,1,0,0,0,0,0,0,2,2
2023-05-01,Hillingdon,2,0,2,0,0,0,0,0,7,9
2023-05-01,Hounslow,0,2,2,4,0,1,1,2,5,15
2023-05-01,Islington,0,0,0,0,0,0,0,0,3,3
2023-05-01,Kensington and Chelsea,0,0,1,1,0,0,0,0,0,2
2023-05-01,Kingston upon Thames,0,0,0,1,0,0,0,1,1,3
2023-05-01,Lambeth,0,0,0,7,0,0,2,1,2,12
2023-05-01,Lewisham,0,0,2,11,0,0,0,1,6,20
2023-05-01,Newham,0,0,2,3,0,0,0,0,4,9
2023-05-01,Out of force,0,0,0,1,0,0,0,0,0,1
2023-05-01,Redbridge,1,0,0,3,0,0,1,0,0,4
2023-05-01,Richmond upon Thames,0,0,1,0,0,0,0,0,0,1
2023-05-01,Southwark,0,0,3,2,0,0,0,0,6,11
2023-05-01,Sutton,0,0,1,0,0,0,0,0,5,6
2023-05-01,Tower Hamlets,0,0,1,3,0,0,0,0,4,8
2023-05-01,Waltham Forest,1,0,3,9,0,1,0,0,3,16
2023-05-01,Wandsworth,0,0,0,3,0,0,0,1,4,8
2023-06-01,Barking and Dagenham,0,0,0,5,1,0,0,0,1,7
2023-06-01,Barnet,1,0,0,7,0,0,1,0,2,10
2023-06-01,Bexley,1,0,0,4,0,1,0,0,3,8
2023-06-01,Brent,0,0,1,10,0,0,0,0,3,14
2023-06-01,Bromley,0,0,0,2,0,0,0,1,3,6
2023-06-01,Camden,1,0,4,2,0,0,3,0,1,10
2023-06-01,City of Westminster,1,0,2,4,0,0,2,1,13,22
2023-06-01,Croydon,1,0,0,14,0,0,2,0,6,22
2023-06-01,Ealing,0,0,3,5,0,0,0,0,5,13
2023-06-01,Enfield,1,0,0,9,0,0,0,0,2,11
2023-06-01,Greenwich,2,0,3,6,1,0,0,1,5,16
2023-06-01,Hackney,2,0,1,4,0,0,0,0,7,12
2023-06-01,Hammersmith and Fulham,0,0,0,3,0,0,1,2,1,7
2023-06-01,Haringey,0,0,1,4,0,0,0,1,8,14
2023-06-01,Harrow,0,0,2,0,0,0,0,0,0,2
2023-06-01,Havering,0,0,0,3,0,0,0,0,11,14
2023-06-01,Heathrow,0,1,0,0,0,0,0,0,1,1
2023-06-01,Hillingdon,0,0,1,2,0,0,1,0,8,12
2023-06-01,Hounslow,1,0,2,3,0,1,0,1,2,9
2023-06-01,Islington,1,0,0,11,0,0,0,2,3,16
2023-06-01,Kensington and Chelsea,0,0,0,1,0,0,1,0,0,2
2023-06-01,Kingston upon Thames,0,0,0,0,0,0,0,0,3,3
2023-06-01,Lambeth,1,1,1,11,0,0,3,1,2,18
2023-06-01,Lewisham,1,2,0,13,0,0,0,0,1,14
2023-06-01,Merton,0,0,0,2,0,0,0,0,2,4
2023-06-01,Newham,0,0,2,2,0,0,0,2,3,9
2023-06-01,Out of force,0,0,0,1,0,0,0,0,1,2
2023-06-01,Redbridge,2,0,1,5,0,0,0,0,3,9
2023-06-01,Richmond upon Thames,0,0,0,0,0,0,0,0,2,2
2023-06-01,Southwark,0,0,0,8,0,0,0,0,1,9
2023-06-01,Sutton,0,0,0,1,0,0,1,1,4,7
2023-06-01,Tower Hamlets,0,0,4,1,0,8,0,0,3,16
2023-06-01,Waltham Forest,1,0,3,6,0,0,0,0,3,12
2023-06-01,Wandsworth,0,0,0,7,0,1,0,1,6,15
2023-06-01,Barking and Dagenham,0,0,0,1,0,1,0,1,6,9
2023-06-01,Barnet,0,0,1,4,0,0,0,0,3,8
2023-06-01,Bexley,1,0,1,1,0,0,0,1,3,6
2023-06-01,Brent,0,1,1,2,0,0,0,0,3,6
2023-06-01,Bromley,0,0,0,0,0,0,1,0,1,2
2023-06-01,Camden,1,0,1,7,0,0,1,0,8,17
2023-06-01,City of Westminster,0,0,3,2,0,0,0,1,5,11
2023-06-01,Croydon,0,0,2,3,0,0,1,1,14,21
2023-06-01,Ealing,0,0,1,2,0,0,0,0,0,3
2023-06-01,Enfield,2,1,0,8,0,0,0,0,2,10
2023-06-01,Greenwich,0,0,2,4,0,0,0,1,2,9
2023-06-01,Hackney,0,0,0,9,0,1,0,0,8,18
2023-06-01,Hammersmith and Fulham,1,0,0,1,0,0,0,0,1,2
2023-06-01,Haringey,0,0,0,3,0,0,0,0,0,3
2023-06-01,Harrow,2,2,5,0,0,0,1,0,1,7
2023-06-01,Havering,0,0,2,3,0,0,0,0,6,11
2023-06-01,Hillingdon,1,0,0,1,0,0,0,1,4,6
2023-06-01,Hounslow,0,0,6,4,0,0,1,0,5,16
2023-06-01,Islington,0,0,1,2,1,0,0,0,4,8
2023-06-01,Kensington and Chelsea,1,0,1,2,0,1,1,1,2,8
2023-06-01,Kingston upon Thames,0,0,0,1,0,0,0,0,2,3
2023-06-01,Lambeth,0,0,0,6,0,0,0,1,3,10
2023-06-01,Lewisham,1,0,0,11,0,0,0,0,3,14
2023-06-01,Merton,0,0,0,0,0,0,0,0,2,2
2023-06-01,Newham,0,0,4,7,0,0,0,0,6,17
2023-06-01,Redbridge,2,0,5,2,0,0,0,0,2,9
2023-06-01,Richmond upon Thames,0,0,0,0,0,0,0,0,1,1
2023-06-01,Southwark,0,0,0,6,0,0,1,1,4,12
2023-06-01,Sutton,0,0,1,0,0,0,0,0,4,5
2023-06-01,Tower Hamlets,1,0,3,3,0,0,0,0,1,7
2023-06-01,Waltham Forest,2,0,1,8,0,0,0,0,4,13
2023-06-01,Wandsworth,0,0,0,3,0,0,0,0,2,5
2023-06-01,Barking and Dagenham,0,0,0,0,0,0,0,0,7,7
2023-06-01,Barnet,0,0,3,3,0,1,0,0,4,11
2023-06-01,Bexley,1,0,0,5,0,0,0,0,2,7
2023-06-01,Brent,3,0,3,5,0,0,1,2,16,27
2023-06-01,Bromley,1,0,0,6,0,0,0,1,6,13
2023-06-01,Camden,0,0,1,4,0,0,1,0,4,10
2023-06-01,City of Westminster,0,0,0,5,0,0,0,3,10,18
2023-06-01,Croydon,0,0,1,6,0,0,1,1,6,15
2023-06-01,Ealing,0,0,3,3,0,0,0,0,11,17
2023-06-01,Enfield,0,0,1,2,0,1,1,2,3,10
2023-06-01,Greenwich,0,0,0,5,0,0,0,0,1,6
2023-06-01,Hackney,2,0,3,6,0,1,1,1,6,18
2023-06-01,Hammersmith and Fulham,1,0,0,2,0,0,0,0,3,5
2023-06-01,Haringey,0,0,0,4,0,2,0,1,11,18
2023-06-01,Harrow,1,0,0,2,0,0,0,0,1,3
2023-06-01,Havering,0,0,1,2,0,0,0,0,2,5
2023-06-01,Heathrow,0,0,0,2,0,0,0,0,0,2
2023-06-01,Hillingdon,0,0,2,0,0,0,0,0,2,4
2023-06-01,Hounslow,0,0,0,1,0,1,1,0,6,9
2023-06-01,Islington,0,0,1,0,0,0,0,1,1,3
2023-06-01,Kensington and Chelsea,0,0,2,2,1,0,0,0,0,5
2023-06-01,Kingston upon Thames,1,0,0,0,1,1,0,1,11,14
2023-06-01,Lambeth,1,0,1,8,0,0,0,1,1,11
2023-06-01,Lewisham,0,0,0,7,0,0,0,0,6,13
2023-06-01,Merton,0,0,1,2,0,0,0,0,1,4
2023-06-01,Newham,0,0,5,0,0,1,0,1,4,11
2023-06-01,Out of force,0,0,0,0,0,0,0,0,1,1
2023-06-01,Redbridge,0,0,0,1,0,0,0,0,4,5
2023-06-01,Richmond upon Thames,0,0,0,0,0,0,0,0,3,3
2023-06-01,Southwark,0,0,0,5,0,1,0,2,2,10
2023-06-01,Sutton,0,0,1,1,0,0,0,0,1,3
2023-06-01,Tower Hamlets,0,0,6,5,0,0,1,1,6,19
2023-06-01,Waltham Forest,0,0,3,2,0,0,0,1,3,9
2023-06-01,Wandsworth,0,0,0,2,0,0,0,0,2,4
2023-06-01,Barking and Dagenham,0,0,0,2,0,0,0,2,5,9
2023-06-01,Barnet,0,0,0,4,0,0,0,0,4,8
2023-06-01,Bexley,0,0,1,3,0,0,0,0,7,11
2023-06-01,Brent,0,0,0,4,0,0,0,0,4,8
2023-06-01,Bromley,0,0,0,1,0,1,0,1,6,9
2023-06-01,Camden,0,0,0,2,0,0,0,0,2,4
2023-06-01,City of Westminster,2,0,1,1,0,0,0,3,1,6
2023-06-01,Croydon,1,0,0,6,0,0,1,0,6,13
2023-06-01,Ealing,0,0,3,2,0,0,0,0,4,9
2023-06-01,Enfield,0,0,1,4,0,0,0,0,3,8
2023-06-01,Greenwich,0,0,1,2,0,0,0,0,4,7
2023-06-01,Hackney,1,0,0,13,0,1,1,0,3,18
2023-06-01,Hammersmith and Fulham,1,0,0,2,0,1,1,0,4,8
2023-06-01,Haringey,1,0,0,3,0,0,0,0,5,8
2023-06-01,Harrow,0,0,0,0,0,0,0,0,1,1
2023-06-01,Havering,0,0,1,1,0,0,0,0,5,7
2023-06-01,Heathrow,0,0,1,0,0,0,0,0,0,1
2023-06-01,Hillingdon,0,0,1,5,0,1,0,0,1,8
2023-06-01,Hounslow,0,0,3,1,0,0,0,0,4,8
2023-06-01,Islington,3,2,1,6,0,0,0,0,4,11
2023-06-01,Kensington and Chelsea,0,0,0,1,0,0,0,0,1,2
2023-06-01,Kingston upon Thames,0,0,0,0,0,0,0,0,3,3
2023-06-01,Lambeth,3,0,0,4,0,0,1,1,1,7
2023-06-01,Lewisham,0,0,2,9,1,1,0,0,5,18
2023-06-01,Merton,0,0,0,2,0,0,0,0,1,3
2023-06-01,Newham,0,0,1,3,0,0,0,0,3,7
2023-06-01,Out of force,0,0,0,0,0,0,0,0,1,1
2023-06-01,Redbridge,0,0,2,3,2,0,0,0,1,8
2023-06-01,Southwark,1,0,0,4,0,1,0,0,2,7
2023-06-01,Sutton,0,0,0,1,0,0,0,0,1,2
2023-06-01,Tower Hamlets,0,0,2,0,0,0,0,0,2,4
2023-06-01,Waltham Forest,0,0,1,2,0,0,0,0,2,5
2023-06-01,Wandsworth,0,0,0,4,0,0,0,0,1,5
2023-06-01,Barking and Dagenham,0,0,1,1,0,0,0,1,2,5
2023-06-01,Barnet,0,0,0,1,0,0,0,2,2,5
2023-06-01,Bexley,0,0,0,2,0,0,0,0,1,3
2023-06-01,Brent,0,0,3,1,0,1,0,0,1,6
2023-06-01,Bromley,0,1,0,5,0,1,0,0,8,14
2023-06-01,Camden,0,0,7,1,0,0,0,0,3,11
2023-06-01,City of Westminster,3,0,3,9,0,0,1,4,13,30
2023-06-01,Croydon,1,0,0,4,0,0,0,0,9,13
2023-06-01,Ealing,0,0,1,2,0,0,1,0,4,8
2023-06-01,Enfield,1,0,0,6,0,0,0,0,5,11
2023-06-01,Greenwich,2,0,1,2,0,0,0,0,9,12
2023-06-01,Hackney,0,0,1,6,0,0,0,0,1,8
2023-06-01,Hammersmith and Fulham,0,0,2,2,0,0,0,0,3,7
2023-06-01,Haringey,2,0,1,3,0,1,0,0,1,6
2023-06-01,Harrow,1,0,0,1,0,0,1,0,0,2
2023-06-01,Havering,0,0,0,3,0,0,0,1,0,4
2023-06-01,Heathrow,0,0,0,1,0,0,0,0,0,1
2023-06-01,Hillingdon,0,0,3,1,0,0,0,0,1,5
2023-06-01,Hounslow,1,0,3,6,0,1,0,0,3,13
2023-06-01,Islington,0,0,1,6,0,0,1,0,3,11
2023-06-01,Kensington and Chelsea,0,0,0,1,0,0,0,0,1,2
2023-06-01,Kingston upon Thames,1,0,0,0,0,0,0,0,2,2
2023-06-01,Lambeth,1,0,0,9,0,0,0,1,3,13
2023-06-01,Lewisham,0,0,0,6,0,0,1,0,3,10
2023-06-01,Merton,0,0,0,0,0,0,0,0,1,1
2023-06-01,Newham,0,0,6,4,0,0,0,0,1,11
2023-06-01,Out of force,0,0,0,0,0,0,0,0,1,1
2023-06-01,Redbridge,1,0,3,0,0,0,0,0,3,6
2023-06-01,Southwark,0,0,0,9,0,0,0,0,2,11
2023-06-01,Sutton,1,0,0,0,0,0,0,0,3,3
2023-06-01,Tower Hamlets,0,0,1,1,1,0,0,0,1,4
2023-06-01,Waltham Forest,0,0,3,5,0,0,1,1,7,17
2023-06-01,Wandsworth,0,0,0,4,0,0,0,0,2,6
2023-06-01,Barking and Dagenham,0,0,0,0,0,0,0,0,4,4
2023-06-01,Barnet,0,0,1,8,0,0,2,0,1,12
2023-06-01,Bexley,0,0,1,1,0,0,0,0,4,6
2023-06-01,Brent,1,0,1,4,0,0,0,2,1,8
2023-06-01,Bromley,0,0,0,1,0,0,0,0,2,3
2023-06-01,Camden,2,0,0,3,0,0,0,0,3,6
2023-06-01,City of Westminster,3,0,3,10,0,0,2,12,11,38
2023-06-01,Croydon,1,0,0,6,0,0,0,0,5,11
2023-06-01,Ealing,0,0,1,5,0,0,0,0,3,9
2023-06-01,Enfield,1,0,0,1,0,0,0,0,2,3
2023-06-01,Greenwich,2,0,0,2,0,1,0,0,8,11
2023-06-01,Hackney,0,0,1,5,0,1,0,0,5,12
2023-06-01,Hammersmith and Fulham,1,0,0,4,0,0,0,0,3,7
2023-06-01,Haringey,0,0,0,2,0,0,0,1,4,7
2023-06-01,Harrow,0,0,0,0,0,0,0,0,1,1
2023-06-01,Havering,0,0,1,2,0,0,0,0,2,5
2023-06-01,Heathrow,0,0,0,2,0,0,0,0,1,3
2023-06-01,Hillingdon,0,0,4,2,0,0,1,1,1,9
2023-06-01,Hounslow,0,0,2,3,0,1,0,0,1,7
2023-06-01,Islington,0,0,0,1,0,0,0,0,2,3
2023-06-01,Kensington and Chelsea,0,0,0,0,0,0,1,0,0,1
2023-06-01,Kingston upon Thames,0,0,0,2,0,0,0,0,2,4
2023-06-01,Lambeth,2,0,0,7,0,1,0,0,3,11
2023-06-01,Lewisham,1,0,2,5,2,0,0,0,8,17
2023-06-01,Merton,0,0,1,0,0,0,0,0,0,1
2023-06-01,Newham,0,0,3,3,0,0,0,1,1,8
2023-06-01,Out of force,0,0,0,3,1,0,0,0,0,4
2023-06-01,Redbridge,0,0,5,0,0,0,0,0,3,8
2023-06-01,Richmond upon Thames,0,0,1,1,0,0,0,1,0,3
2023-06-01,Southwark,0,0,0,12,0,0,2,1,4,19
2023-06-01,Sutton,0,0,1,0,0,0,0,0,1,2
2023-06-01,Tower Hamlets,4,2,13,3,0,0,0,0,4,20
2023-06-01,Waltham Forest,2,0,3,2,0,0,0,1,8,14
2023-06-01,Wandsworth,0,0,0,3,0,0,1,0,3,7
2023-06-01,Barking and Dagenham,0,0,0,1,0,0,2,0,3,6
2023-06-01,Barnet,0,0,1,3,0,1,0,1,0,6
2023-06-01,Bexley,0,0,1,1,0,0,0,0,2,4
2023-06-01,Brent,0,0,0,8,0,0,2,0,5,15
2023-06-01,Bromley,0,0,0,5,0,0,1,0,5,11
2023-06-01,Camden,0,0,0,2,0,0,0,1,4,7
2023-06-01,City of Westminster,1,0,4,5,0,1,3,6,4,23
2023-06-01,Croydon,0,0,3,7,1,1,0,0,10,22
2023-06-01,Ealing,2,0,7,4,0,0,0,0,2,13
2023-06-01,Enfield,0,0,1,1,0,0,0,0,2,4
2023-06-01,Greenwich,0,0,0,6,0,1,0,0,13,20
2023-06-01,Hackney,0,0,0,1,0,1,0,4,3,9
2023-06-01,Hammersmith and Fulham,0,0,2,2,0,0,1,0,5,10
2023-06-01,Haringey,2,0,1,3,0,1,0,1,1,7
2023-06-01,Harrow,0,0,2,1,0,0,0,0,4,7
2023-06-01,Havering,0,0,0,2,0,0,0,0,10,12
2023-06-01,Heathrow,0,0,0,0,0,1,0,1,0,2
2023-06-01,Hillingdon,0,1,0,1,0,0,1,0,2,4
2023-06-01,Hounslow,0,0,7,1,0,1,0,0,2,11
2023-06-01,Islington,0,0,1,4,0,0,1,0,7,13
2023-06-01,Kensington and Chelsea,0,0,1,1,0,1,0,0,2,5
2023-06-01,Kingston upon Thames,0,0,0,0,0,0,0,1,0,1
2023-06-01,Lambeth,1,0,0,4,0,0,0,0,2,6
2023-06-01,Lewisham,0,0,1,10,0,0,1,0,7,19
2023-06-01,Merton,1,1,0,2,0,0,0,0,0,2
2023-06-01,Newham,2,0,3,5,1,0,0,0,4,13
2023-06-01,Out of force,0,0,0,1,0,0,0,0,1,2
2023-06-01,Redbridge,0,0,4,1,0,0,0,0,1,6
2023-06-01,Richmond upon Thames,0,0,0,1,0,0,0,0,1,2
2023-06-01,Southwark,1,0,1,5,0,1,0,2,9,18
2023-06-01,Sutton,0,0,0,4,0,0,0,0,0,4
2023-06-01,Tower Hamlets,0,0,0,6,0,0,0,0,3,9
2023-06-01,Waltham Forest,0,0,3,2,0,0,0,1,1,7
2023-06-01,Wandsworth,1,1,1,7,0,0,0,0,0,8
2023-06-01,Barking and Dagenham,0,0,0,2,0,0,0,0,2,4
2023-06-01,Barnet,1,0,0,4,0,0,0,0,3,7
2023-06-01,Bexley,0,0,0,0,0,0,1,0,11,12
2023-06-01,Brent,0,0,2,3,0,0,0,1,0,6
2023-06-01,Bromley,1,0,0,2,0,0,0,1,4,7
2023-06-01,Camden,0,0,2,5,0,0,0,0,4,11
2023-06-01,City of Westminster,0,0,8,10,0,0,3,4,5,30
2023-06-01,Croydon,1,0,0,4,0,0,0,0,7,11
2023-06-01,Ealing,2,0,7,7,0,0,0,2,5,21
2023-06-01,Enfield,0,0,0,2,0,0,0,0,0,2
2023-06-01,Greenwich,2,0,0,8,0,1,1,1,9,20
2023-06-01,Hackney,1,1,7,6,0,1,1,1,5,21
2023-06-01,Hammersmith and Fulham,1,0,3,1,1,0,4,6,5,20
2023-06-01,Haringey,2,2,0,7,0,0,0,3,2,12
2023-06-01,Harrow,0,0,0,2,0,0,0,0,0,2
2023-06-01,Havering,1,0,0,5,0,1,2,0,2,10
2023-06-01,Hillingdon,2,0,4,1,0,1,0,0,6,12
2023-06-01,Hounslow,0,0,1,3,0,0,0,0,8,12
2023-06-01,Islington,2,0,3,3,0,0,2,0,1,9
2023-06-01,Kensington and Chelsea,1,0,0,1,1,0,0,0,1,3
2023-06-01,Kingston upon Thames,1,0,1,1,0,0,0,0,3,5
2023-06-01,Lambeth,0,0,1,13,0,2,2,1,6,25
2023-06-01,Lewisham,0,0,1,14,0,1,0,1,10,27
2023-06-01,Merton,0,0,0,1,0,0,0,0,2,3
2023-06-01,Newham,0,1,5,14,0,0,0,0,13,32
2023-06-01,Out of force,0,0,0,2,0,0,0,0,5,7
2023-06-01,Redbridge,0,0,1,0,0,0,0,0,0,1
2023-06-01,Richmond upon Thames,0,0,0,0,0,0,0,0,3,3
2023-06-01,Southwark,3,0,0,12,0,1,0,0,1,14
2023-06-01,Sutton,0,0,0,0,0,0,0,0,6,6
2023-06-01,Tower Hamlets,3,4,10,3,0,0,1,3,17,34
2023-06-01,Waltham Forest,2,0,5,14,0,0,0,0,3,22
2023-06-01,Wandsworth,0,0,0,2,0,0,0,2,0,4
2023-06-01,Barking and Dagenham,1,0,2,2,0,0,0,0,2,6
2023-06-01,Barnet,0,0,2,5,0,0,0,0,2,9
2023-06-01,Bexley,0,0,0,0,0,0,0,0,2,2
2023-06-01,Brent,0,0,3,3,0,0,1,1,3,11
2023-06-01,Bromley,0,0,0,0,0,0,0,0,3,3
2023-06-01,Camden,1,0,2,2,0,0,0,0,1,5
2023-06-01,City of Westminster,1,0,4,21,0,1,3,8,10,47
2023-06-01,Croydon,0,0,1,3,0,0,0,0,4,8
2023-06-01,Ealing,0,0,2,6,0,0,0,1,4,13
2023-06-01,Enfield,0,0,0,5,0,0,0,1,4,10
2023-06-01,Greenwich,0,0,0,2,0,0,1,0,2,5
2023-06-01,Hackney,1,0,2,8,1,2,2,1,1,17
2023-06-01,Hammersmith and Fulham,0,0,1,3,0,0,1,0,3,8
2023-06-01,Haringey,0,0,0,5,0,0,1,0,5,11
2023-06-01,Harrow,1,0,1,1,0,1,0,0,2,5
2023-06-01,Havering,0,0,1,0,1,0,0,0,2,4
2023-06-01,Hillingdon,0,0,1,1,0,0,0,0,4,6
2023-06-01,Hounslow,0,0,5,1,0,0,2,0,5,13
2023-06-01,Islington,0,0,0,3,0,0,0,0,4,7
2023-06-01,Kensington and Chelsea,1,0,0,3,0,0,0,0,4,7
2023-06-01,Kingston upon Thames,0,0,0,1,0,0,0,0,1,2
2023-06-01,Lambeth,0,0,1,5,0,0,0,1,2,9
2023-06-01,Lewisham,0,0,1,7,0,0,0,0,11,19
2023-06-01,Merton,1,0,0,1,0,0,0,1,2,4
2023-06-01,Newham,3,0,2,8,0,0,0,0,1,11
2023-06-01,Out of force,0,0,0,2,0,0,0,1,1,4
2023-06-01,Redbridge,1,0,1,4,0,0,0,0,3,8
2023-06-01,Richmond upon Thames,1,0,1,1,0,0,0,0,2,4
2023-06-01,Southwark,0,0,1,2,0,0,3,1,0,7
2023-06-01,Sutton,0,0,0,0,0,0,0,0,2,2
2023-06-01,Tower Hamlets,2,1,5,2,0,0,0,1,10,18
2023-06-01,Waltham Forest,0,0,0,1,0,0,0,3,2,6
2023-06-01,Wandsworth,0,0,1,0,0,0,0,0,2,3
2023-06-01,Barking and Dagenham,0,0,0,3,0,0,1,0,5,9
2023-06-01,Barnet,1,0,1,5,0,0,3,0,5,14
2023-06-01,Bexley,0,0,0,0,0,0,0,1,5,6
2023-06-01,Brent,0,0,1,2,0,0,0,0,2,5
2023-06-01,Bromley,0,0,1,1,0,0,0,0,4,6
2023-06-01,Camden,1,0,1,1,0,0,0,2,4,8
2023-06-01,City of Westminster,3,0,4,18,0,0,0,4,5,31
2023-06-01,Croydon,0,0,1,8,0,0,0,1,5,15
2023-06-01,Ealing,1,0,2,4,0,0,0,0,2,8
2023-06-01,Enfield,0,0,1,4,0,0,0,0,3,8
2023-06-01,Greenwich,0,0,0,4,0,1,1,0,5,11
2023-06-01,Hackney,0,0,2,12,0,1,0,1,5,21
2023-06-01,Hammersmith and Fulham,0,0,2,2,0,0,0,2,5,11
2023-06-01,Haringey,0,0,1,6,0,0,0,1,0,8
2023-06-01,Harrow,0,0,0,0,0,0,0,0,1,1
2023-06-01,Havering,0,0,0,2,0,0,0,0,4,6
2023-06-01,Heathrow,0,0,0,0,0,0,0,1,0,1
2023-06-01,Hillingdon,0,0,2,0,0,0,0,2,4,8
2023-06-01,Hounslow,0,0,0,2,0,1,0,0,3,6
2023-06-01,Islington,0,0,1,4,0,0,0,0,4,9
2023-06-01,Kensington and Chelsea,0,0,0,1,0,0,0,0,1,2
2023-06-01,Kingston upon Thames,0,0,0,0,0,0,0,0,3,3
2023-06-01,Lambeth,0,0,0,7,0,0,0,0,1,8
2023-06-01,Lewisham,0,0,0,6,0,1,0,0,5,12
2023-06-01,Merton,0,0,1,0,0,0,0,0,3,4
2023-06-01,Newham,1,0,1,6,0,0,0,0,5,12
2023-06-01,Out of force,0,0,1,1,0,0,0,0,0,2
2023-06-01,Redbridge,1,0,0,2,0,0,1,0,1,4
2023-06-01,Richmond upon Thames,0,0,0,1,0,0,0,0,0,1
2023-06-01,Southwark,0,0,0,6,0,1,1,0,2,10
2023-06-01,Sutton,0,0,0,1,0,0,0,0,7,8
2023-06-01,Tower Hamlets,0,0,1,1,0,0,0,0,1,3
2023-06-01,Waltham Forest,0,0,0,3,0,0,0,1,4,8
2023-06-01,Wandsworth,1,0,0,1,0,1,0,0,2,4
2023-06-01,Barking and Dagenham,1,0,1,0,0,0,0,1,2,4
2023-06-01,Barnet,0,0,0,1,0,0,0,0,1,2
2023-06-01,Bexley,0,0,0,3,0,0,0,0,3,6
2023-06-01,Brent,0,0,2,3,0,0,0,0,6,11
2023-06-01,Bromley,0,0,0,0,0,0,0,0,1,1
2023-06-01,Camden,0,0,2,5,0,0,1,0,7,15
2023-06-01,City of Westminster,0,0,2,9,0,0,0,5,5,21
2023-06-01,Croydon,2,0,0,5,0,0,2,0,6,13
2023-06-01,Ealing,3,2,2,4,0,0,0,0,12,18
2023-06-01,Enfield,0,0,0,1,0,0,0,0,3,4
2023-06-01,Greenwich,1,0,0,6,0,0,0,0,2,8
2023-06-01,Hackney,1,0,3,4,0,0,0,1,7,15
